job_id,job_title,company_size,company_industry,country,remote_type,experience_level,years_experience,education_level,skills_python
125,Data Analyst,Medium,Retail,USA,Remote,Entry,14,Master,1
126,AI Engineer,Startup,Healthcare,USA,Remote,Entry,13,Bachelor,0
127,Machine Learning Engineer,Medium,Healthcare,India,Onsite,Entry,12,PhD,0
128,AI Engineer,MNC,Healthcare,Germany,Hybrid,Mid,10,PhD,0
129,Data Analyst,Enterprise,Finance,Germany,Hybrid,Mid,1,PhD,1
130,Data Engineer,MNC,E-commerce,Canada,Onsite,Entry,2,PhD,1
131,Data Analyst,Enterprise,Technology,India,Onsite,Senior,12,Bachelor,1
132,Machine Learning Engineer,Startup,Technology,Canada,Hybrid,Mid,2,Bachelor,1
133,Machine Learning Engineer,MNC,Education,Singapore,Hybrid,Senior,9,PhD,1
134,Machine Learning Engineer,MNC,Technology,Australia,Onsite,Mid,13,Master,1
135,Business Analyst,Enterprise,Education,Singapore,Remote,Mid,5,PhD,0
136,Data Scientist,MNC,Technology,Germany,Remote,Senior,14,PhD,0
137,Data Analyst,MNC,Finance,USA,Hybrid,Entry,4,PhD,0
138,Data Engineer,MNC,Retail,Canada,Hybrid,Mid,8,Master,0
139,Business Analyst,Startup,Retail,Canada,Remote,Entry,13,PhD,1
140,Machine Learning Engineer,Startup,Healthcare,Canada,Remote,Senior,7,PhD,0
141,Machine Learning Engineer,MNC,Healthcare,Canada,Remote,Senior,5,Bachelor,0
142,Machine Learning Engineer,Medium,Healthcare,India,Remote,Mid,7,PhD,0
143,Data Engineer,Startup,E-commerce,USA,Hybrid,Mid,1,Master,1
144,Business Analyst,Enterprise,Finance,UK,Hybrid,Entry,13,Master,1
145,Business Analyst,Enterprise,Finance,Australia,Hybrid,Senior,4,Bachelor,0
146,Data Scientist,MNC,Finance,UK,Hybrid,Mid,2,PhD,1
147,Machine Learning Engineer,Medium,Technology,Canada,Remote,Mid,11,Bachelor,0
148,Data Engineer,Medium,Technology,UK,Onsite,Entry,6,Bachelor,0
149,AI Engineer,Startup,E-commerce,Australia,Onsite,Mid,12,Master,1
150,Data Engineer,Medium,Healthcare,USA,Remote,Mid,13,Bachelor,0
151,Data Scientist,Medium,E-commerce,India,Hybrid,Senior,0,Master,1
152,AI Engineer,Startup,Healthcare,USA,Onsite,Mid,8,Master,0
153,AI Engineer,Medium,Retail,Germany,Onsite,Mid,1,Bachelor,0
154,Machine Learning Engineer,Startup,E-commerce,USA,Hybrid,Entry,2,PhD,1
155,Data Scientist,Medium,Retail,Singapore,Remote,Mid,9,PhD,1
156,Machine Learning Engineer,Medium,Healthcare,Singapore,Remote,Mid,0,Bachelor,1
157,Business Analyst,Startup,Technology,India,Remote,Senior,7,Bachelor,1
158,AI Engineer,Medium,Education,USA,Onsite,Mid,13,PhD,1
159,Machine Learning Engineer,Medium,Education,USA,Onsite,Entry,13,PhD,0
160,Data Scientist,Startup,Education,Canada,Hybrid,Mid,7,Master,0
161,Data Engineer,MNC,Finance,Singapore,Hybrid,Entry,8,Master,0
162,Data Engineer,Enterprise,Healthcare,Germany,Hybrid,Senior,2,Master,1
163,Data Scientist,Medium,Education,India,Remote,Senior,7,Master,1
164,Business Analyst,Enterprise,Healthcare,UK,Hybrid,Senior,13,Master,1
165,AI Engineer,Enterprise,Education,USA,Hybrid,Mid,12,Master,1
166,Business Analyst,Medium,Technology,USA,Onsite,Entry,14,Bachelor,1
167,Machine Learning Engineer,MNC,Retail,Singapore,Onsite,Entry,1,PhD,1
168,Data Analyst,Startup,Retail,Canada,Remote,Mid,2,Master,0
169,Business Analyst,Enterprise,Technology,Germany,Remote,Mid,1,PhD,0
170,Business Analyst,Medium,E-commerce,Australia,Onsite,Mid,10,Master,0
171,Business Analyst,Startup,E-commerce,Canada,Hybrid,Mid,4,Bachelor,0
172,AI Engineer,Enterprise,E-commerce,Germany,Onsite,Entry,13,Master,1
173,Business Analyst,MNC,E-commerce,Australia,Hybrid,Entry,12,Master,0
174,AI Engineer,MNC,E-commerce,USA,Hybrid,Mid,11,Master,1
175,Data Scientist,Enterprise,Finance,Germany,Onsite,Entry,4,PhD,1
176,Data Analyst,Startup,E-commerce,UK,Onsite,Entry,3,Bachelor,0
177,Data Analyst,Enterprise,Retail,Germany,Onsite,Senior,4,Master,0
178,Data Scientist,Startup,Healthcare,Singapore,Hybrid,Senior,3,Bachelor,1
179,Machine Learning Engineer,Medium,E-commerce,Germany,Onsite,Mid,12,Master,0
180,Data Scientist,MNC,Healthcare,Singapore,Remote,Entry,13,PhD,1
181,AI Engineer,MNC,Retail,Australia,Remote,Entry,9,PhD,1
182,Data Engineer,Startup,Education,Australia,Hybrid,Senior,11,PhD,1
183,Business Analyst,Startup,Technology,UK,Hybrid,Senior,2,PhD,0
184,Data Engineer,Enterprise,E-commerce,Australia,Onsite,Senior,4,Bachelor,0
185,Data Analyst,Startup,Technology,UK,Hybrid,Mid,8,PhD,1
186,AI Engineer,Medium,Healthcare,India,Hybrid,Mid,13,Bachelor,1
187,Data Engineer,MNC,Retail,Canada,Hybrid,Senior,3,Bachelor,1
188,Business Analyst,Medium,Education,Australia,Remote,Entry,6,Bachelor,0
189,AI Engineer,MNC,Education,India,Hybrid,Mid,14,PhD,1
190,Machine Learning Engineer,Medium,E-commerce,Singapore,Onsite,Entry,6,Master,0
191,Data Analyst,Enterprise,Retail,USA,Hybrid,Entry,0,Bachelor,1
192,Data Scientist,Medium,E-commerce,USA,Remote,Mid,2,Master,0
193,Business Analyst,Enterprise,E-commerce,UK,Hybrid,Senior,9,Master,0
194,Business Analyst,MNC,Education,India,Hybrid,Senior,1,PhD,0
195,AI Engineer,Startup,Technology,USA,Remote,Mid,13,Master,1
196,Machine Learning Engineer,Startup,E-commerce,Australia,Remote,Entry,3,PhD,1
197,Data Engineer,Enterprise,Healthcare,UK,Onsite,Senior,9,Bachelor,1
198,Machine Learning Engineer,Startup,Retail,Singapore,Hybrid,Entry,2,Bachelor,0
199,Machine Learning Engineer,Startup,Technology,Singapore,Hybrid,Entry,5,PhD,0
200,Data Scientist,Enterprise,Education,USA,Remote,Mid,13,Master,1
201,Machine Learning Engineer,Medium,Healthcare,UK,Remote,Senior,11,Master,1
202,Data Scientist,MNC,E-commerce,Germany,Hybrid,Senior,3,Master,1
203,Data Scientist,MNC,Healthcare,Germany,Hybrid,Entry,1,PhD,0
204,Data Engineer,Enterprise,Technology,Singapore,Remote,Senior,10,Master,0
205,Data Scientist,MNC,E-commerce,Canada,Onsite,Entry,14,PhD,1
206,Data Analyst,Startup,Retail,UK,Hybrid,Senior,0,Master,1
207,AI Engineer,Medium,Education,Australia,Hybrid,Senior,11,Bachelor,0
208,Business Analyst,Medium,Technology,Germany,Hybrid,Mid,10,PhD,0
209,Machine Learning Engineer,Medium,Education,Canada,Onsite,Entry,8,Bachelor,1
210,Data Scientist,Startup,Healthcare,Australia,Onsite,Mid,4,Master,1
211,Data Scientist,Enterprise,Healthcare,India,Onsite,Entry,5,PhD,0
212,Data Analyst,MNC,Technology,Singapore,Onsite,Mid,3,Bachelor,1
213,Data Engineer,Enterprise,E-commerce,UK,Remote,Entry,13,Bachelor,1
214,Business Analyst,Enterprise,Healthcare,UK,Remote,Mid,10,PhD,0
215,Data Engineer,Enterprise,Retail,Australia,Onsite,Mid,3,PhD,0
216,Data Analyst,Medium,Retail,UK,Hybrid,Senior,11,Bachelor,1
217,AI Engineer,Medium,Education,Canada,Remote,Entry,8,Master,1
218,Data Engineer,Medium,Finance,Germany,Onsite,Mid,12,Bachelor,1
219,AI Engineer,Enterprise,Retail,Australia,Hybrid,Entry,4,PhD,0
220,Data Scientist,MNC,Retail,USA,Hybrid,Entry,6,Bachelor,0
221,Data Analyst,Medium,Technology,USA,Remote,Senior,6,PhD,1
222,Data Analyst,Enterprise,Finance,USA,Onsite,Mid,5,Master,0
223,AI Engineer,Medium,Finance,USA,Remote,Entry,2,Bachelor,1
224,Data Engineer,Startup,Education,UK,Remote,Mid,4,PhD,0
225,Data Scientist,Startup,Finance,Canada,Onsite,Senior,6,PhD,0
226,Data Analyst,MNC,E-commerce,Canada,Remote,Entry,12,Bachelor,1
227,Business Analyst,Enterprise,Finance,Singapore,Hybrid,Mid,3,Master,1
228,Data Scientist,Startup,Technology,India,Onsite,Senior,6,Bachelor,1
229,Machine Learning Engineer,Medium,Healthcare,UK,Hybrid,Entry,6,Bachelor,1
230,Data Engineer,MNC,Healthcare,USA,Remote,Mid,10,PhD,0
231,Data Scientist,Enterprise,Finance,Australia,Remote,Mid,1,PhD,1
232,Data Analyst,Enterprise,Technology,Germany,Onsite,Entry,6,PhD,1
233,Data Scientist,MNC,Healthcare,Germany,Remote,Senior,7,Bachelor,0
234,Data Analyst,Medium,Retail,USA,Remote,Mid,7,Bachelor,1
235,Business Analyst,Medium,E-commerce,Australia,Onsite,Senior,12,PhD,1
236,Business Analyst,Medium,Healthcare,Canada,Hybrid,Entry,9,Bachelor,1
237,Data Scientist,Startup,E-commerce,UK,Onsite,Mid,12,Bachelor,1
238,Data Engineer,Startup,Retail,Singapore,Onsite,Senior,1,Master,1
239,AI Engineer,Enterprise,Technology,UK,Remote,Senior,2,Bachelor,0
240,AI Engineer,Medium,Education,USA,Hybrid,Senior,6,Bachelor,0
241,Machine Learning Engineer,Enterprise,Education,Canada,Onsite,Mid,5,Bachelor,0
242,Data Engineer,Startup,Retail,UK,Hybrid,Mid,6,PhD,1
243,Data Scientist,Enterprise,Healthcare,USA,Onsite,Entry,10,Master,1
244,Data Scientist,MNC,Technology,Canada,Remote,Entry,0,Bachelor,1
245,Data Engineer,Startup,Healthcare,Australia,Remote,Mid,2,PhD,1
246,Data Scientist,MNC,Retail,Australia,Remote,Mid,2,PhD,0
247,Data Scientist,MNC,Finance,Canada,Remote,Senior,12,Bachelor,1
248,Machine Learning Engineer,Enterprise,Finance,India,Hybrid,Mid,14,Master,1
249,Data Engineer,MNC,Healthcare,USA,Onsite,Mid,11,Master,1
250,Data Analyst,MNC,Education,Australia,Onsite,Senior,12,Master,0
251,Business Analyst,Enterprise,E-commerce,UK,Remote,Entry,14,Master,0
252,AI Engineer,MNC,Healthcare,Australia,Hybrid,Mid,7,Bachelor,0
253,Data Engineer,Medium,Healthcare,India,Onsite,Senior,11,Bachelor,0
254,Data Scientist,Enterprise,Healthcare,USA,Hybrid,Entry,12,Bachelor,1
255,AI Engineer,MNC,Technology,India,Onsite,Senior,2,Bachelor,0
256,Data Scientist,MNC,Retail,USA,Onsite,Mid,6,PhD,0
257,Data Scientist,MNC,Finance,Australia,Remote,Entry,2,PhD,1
258,Data Scientist,Enterprise,Healthcare,Australia,Onsite,Entry,8,PhD,0
259,Data Engineer,MNC,Education,USA,Remote,Senior,12,Bachelor,1
260,AI Engineer,MNC,E-commerce,Germany,Hybrid,Mid,3,Bachelor,0
261,Business Analyst,MNC,E-commerce,India,Hybrid,Entry,5,Bachelor,1
262,Data Engineer,Startup,Technology,Australia,Remote,Senior,3,Bachelor,1
263,Data Scientist,MNC,Technology,India,Onsite,Mid,9,Bachelor,0
264,Data Scientist,Enterprise,Healthcare,Singapore,Remote,Mid,4,PhD,1
265,Data Scientist,MNC,E-commerce,Australia,Onsite,Senior,8,Bachelor,0
266,Data Scientist,Enterprise,E-commerce,Germany,Hybrid,Senior,11,PhD,1
267,Data Analyst,Startup,Retail,UK,Remote,Entry,14,PhD,1
268,Data Scientist,Enterprise,Finance,Australia,Hybrid,Mid,1,Bachelor,0
269,Data Engineer,Enterprise,Healthcare,Singapore,Remote,Mid,13,Bachelor,0
270,Data Engineer,Startup,Technology,Canada,Onsite,Entry,10,Bachelor,0
271,Machine Learning Engineer,Medium,Finance,Germany,Onsite,Entry,1,Bachelor,0
272,Business Analyst,Enterprise,E-commerce,India,Remote,Senior,4,PhD,1
273,Data Engineer,Startup,Retail,Singapore,Remote,Senior,5,Master,0
274,Machine Learning Engineer,Enterprise,Retail,Canada,Hybrid,Mid,7,PhD,1
275,Business Analyst,Startup,Healthcare,Germany,Remote,Mid,10,PhD,1
276,AI Engineer,Startup,Education,UK,Onsite,Entry,10,PhD,1
277,Data Analyst,Medium,Technology,USA,Hybrid,Entry,9,Master,0
278,Data Scientist,Startup,Education,India,Remote,Entry,3,Bachelor,0
279,Data Analyst,Enterprise,E-commerce,Germany,Onsite,Senior,6,PhD,1
280,Machine Learning Engineer,MNC,E-commerce,Canada,Remote,Senior,13,PhD,1
281,Data Analyst,MNC,E-commerce,Germany,Hybrid,Entry,3,Master,0
282,Business Analyst,Startup,Education,Canada,Hybrid,Entry,12,Bachelor,0
283,Data Engineer,Startup,E-commerce,Germany,Onsite,Senior,14,Master,1
284,Machine Learning Engineer,Medium,Education,Australia,Remote,Entry,2,PhD,1
285,Business Analyst,Medium,E-commerce,USA,Onsite,Senior,9,PhD,1
286,Data Engineer,Startup,Finance,Germany,Onsite,Entry,4,PhD,0
287,Data Scientist,Enterprise,Healthcare,Singapore,Onsite,Senior,0,Master,0
288,Data Scientist,Startup,Finance,Canada,Hybrid,Mid,2,Bachelor,0
289,Data Analyst,Medium,Technology,Germany,Hybrid,Entry,10,PhD,1
290,AI Engineer,MNC,Retail,Canada,Onsite,Mid,0,Bachelor,0
291,Data Engineer,Enterprise,Retail,Germany,Onsite,Senior,8,Master,1
292,Business Analyst,MNC,Education,Singapore,Onsite,Mid,2,PhD,0
293,Business Analyst,Enterprise,E-commerce,UK,Remote,Mid,4,Bachelor,0
294,Data Analyst,Medium,E-commerce,UK,Hybrid,Mid,6,PhD,1
295,Data Engineer,Startup,Technology,Canada,Hybrid,Senior,8,Master,0
296,AI Engineer,Medium,Finance,Canada,Hybrid,Mid,0,Bachelor,0
297,Machine Learning Engineer,MNC,Healthcare,Australia,Hybrid,Mid,6,PhD,0
298,AI Engineer,Enterprise,Technology,UK,Onsite,Mid,4,Master,1
299,Data Analyst,MNC,Retail,Germany,Hybrid,Entry,2,Bachelor,1
300,Data Engineer,MNC,Healthcare,Australia,Remote,Entry,0,Bachelor,0
301,AI Engineer,Startup,E-commerce,Australia,Hybrid,Mid,0,Master,1
302,Data Scientist,MNC,Technology,Canada,Onsite,Entry,9,PhD,0
303,AI Engineer,Startup,Finance,Canada,Onsite,Senior,14,PhD,0
304,Data Engineer,Medium,Finance,UK,Hybrid,Mid,9,PhD,1
305,Data Analyst,Medium,Retail,Australia,Hybrid,Entry,12,Bachelor,1
306,Machine Learning Engineer,MNC,Retail,Canada,Hybrid,Entry,10,Master,0
307,AI Engineer,Medium,Healthcare,Singapore,Hybrid,Senior,8,Master,0
308,Data Scientist,Enterprise,Retail,Australia,Hybrid,Mid,0,Bachelor,1
309,Business Analyst,Medium,Retail,Canada,Onsite,Senior,3,PhD,0
310,Business Analyst,Startup,Healthcare,Germany,Remote,Entry,13,PhD,1
311,Business Analyst,Startup,Finance,Australia,Onsite,Entry,6,PhD,1
312,Data Engineer,Startup,Education,USA,Remote,Senior,6,Bachelor,0
313,Business Analyst,Medium,E-commerce,Australia,Hybrid,Mid,5,Master,0
314,AI Engineer,Enterprise,Technology,India,Remote,Mid,13,PhD,0
315,Business Analyst,Startup,Finance,Australia,Remote,Senior,9,PhD,1
316,Machine Learning Engineer,Startup,E-commerce,USA,Remote,Entry,6,Bachelor,1
317,Business Analyst,Startup,Finance,Australia,Remote,Senior,10,Bachelor,0
318,Data Scientist,Startup,Finance,Australia,Remote,Senior,5,PhD,0
319,Data Analyst,Enterprise,E-commerce,Australia,Hybrid,Entry,2,Master,1
320,Data Scientist,MNC,Technology,Singapore,Remote,Entry,1,Bachelor,1
321,Business Analyst,Enterprise,Retail,UK,Hybrid,Mid,6,PhD,1
322,AI Engineer,Enterprise,Technology,India,Remote,Senior,3,Bachelor,1
323,Data Scientist,Enterprise,E-commerce,UK,Remote,Senior,11,PhD,0
324,Machine Learning Engineer,MNC,Healthcare,Canada,Remote,Mid,9,Master,1
325,Data Scientist,MNC,E-commerce,UK,Hybrid,Mid,11,Master,1
326,AI Engineer,Enterprise,Healthcare,Singapore,Hybrid,Mid,13,Bachelor,1
327,Business Analyst,MNC,Technology,Canada,Hybrid,Mid,10,Bachelor,1
328,Data Engineer,MNC,Technology,India,Remote,Entry,4,Bachelor,0
329,Data Engineer,Medium,Education,USA,Hybrid,Senior,12,PhD,0
330,Business Analyst,MNC,Education,UK,Onsite,Entry,10,PhD,1
331,AI Engineer,Enterprise,Retail,Canada,Onsite,Mid,13,PhD,0
332,Data Scientist,MNC,Technology,Singapore,Onsite,Senior,2,Master,0
333,Machine Learning Engineer,Medium,E-commerce,UK,Remote,Senior,7,PhD,0
334,Data Analyst,Startup,Technology,India,Hybrid,Entry,3,Master,1
335,Machine Learning Engineer,MNC,Retail,Canada,Remote,Senior,10,Bachelor,0
336,AI Engineer,Medium,Education,India,Onsite,Entry,13,Bachelor,1
337,AI Engineer,MNC,Education,Germany,Hybrid,Mid,11,PhD,1
338,Machine Learning Engineer,MNC,Education,India,Onsite,Senior,3,Master,1
339,Data Engineer,Medium,Retail,Singapore,Remote,Senior,7,PhD,1
340,Data Scientist,Enterprise,Finance,Singapore,Onsite,Entry,13,Master,1
341,Business Analyst,Enterprise,Education,UK,Hybrid,Mid,11,PhD,1
342,Business Analyst,MNC,Retail,Canada,Hybrid,Entry,7,PhD,0
343,AI Engineer,Startup,Technology,Canada,Remote,Entry,5,Master,1
344,Data Engineer,MNC,Education,Canada,Hybrid,Mid,7,Master,0
345,Machine Learning Engineer,Startup,Healthcare,Canada,Hybrid,Entry,12,Master,0
346,Business Analyst,Startup,Finance,Germany,Hybrid,Senior,1,Bachelor,0
347,Data Scientist,Enterprise,Healthcare,Singapore,Onsite,Senior,13,Bachelor,1
348,Data Scientist,MNC,Healthcare,Australia,Onsite,Mid,7,PhD,0
349,Data Engineer,Enterprise,Technology,UK,Remote,Mid,5,Master,1
350,Data Analyst,MNC,Retail,Germany,Remote,Senior,12,PhD,0
